name,start,end,approve,disprove,unsure
George W. Bush,04/05/2003 ,04/06/2003 ,70,26,3
George W. Bush,03/29/2003 ,03/30/2003 ,70,25,3
George W. Bush,03/24/2003 ,03/25/2003 ,69,27,3
George W. Bush,03/22/2003 ,03/23/2003 ,70,25,3
George W. Bush,03/14/2003 ,03/15/2003 ,58,37,4
George W. Bush,03/03/2003 ,03/05/2003 ,57,37,5
George W. Bush,02/24/2003 ,02/26/2003 ,56,37,5
George W. Bush,02/17/2003 ,02/19/2003 ,57,37,5
George W. Bush,02/07/2003 ,02/09/2003 ,61,33,4
George W. Bush,02/03/2003 ,02/06/2003 ,59,34,6
George W. Bush,01/31/2003 ,02/02/2003 ,60,35,4
George W. Bush,01/23/2003 ,01/25/2003 ,59,35,4
George W. Bush,01/20/2003 ,01/22/2003 ,58,35,6
George W. Bush,01/13/2003 ,01/16/2003 ,61,33,5
George W. Bush,01/10/2003 ,01/12/2003 ,57,37,5
George W. Bush,01/03/2003 ,01/05/2003 ,63,31,4
George W. Bush,12/19/2002 ,12/22/2002 ,61,32,6
George W. Bush,12/16/2002 ,12/17/2002 ,63,32,3
George W. Bush,12/05/2002 ,12/08/2002 ,63,29,7
George W. Bush,11/11/2002 ,11/14/2002 ,66,25,7
George W. Bush,11/08/2002 ,11/10/2002 ,68,26,4
George W. Bush,10/31/2002 ,11/03/2002 ,63,29,7
George W. Bush,10/21/2002 ,10/22/2002 ,66,28,4
George W. Bush,10/14/2002 ,10/17/2002 ,62,30,6
George W. Bush,10/03/2002 ,10/06/2002 ,67,27,4
George W. Bush,09/23/2002 ,09/25/2002 ,67,26,6
George W. Bush,09/18/2002 ,09/18/2002 ,66,29,4
George W. Bush,09/13/2002 ,09/16/2002 ,70,25,4
George W. Bush,09/05/2002 ,09/08/2002 ,65,30,4
George W. Bush,09/02/2002 ,09/04/2002 ,66,28,4
George W. Bush,08/19/2002 ,08/21/2002 ,65,27,6
George W. Bush,07/29/2002 ,07/31/2002 ,70,23,5
George W. Bush,07/26/2002 ,07/28/2002 ,68,25,5
George W. Bush,07/22/2002 ,07/24/2002 ,68,24,7
George W. Bush,07/09/2002 ,07/11/2002 ,72,21,5
George W. Bush,07/05/2002 ,07/08/2002 ,75,18,6
George W. Bush,06/21/2002 ,06/23/2002 ,73,20,6
George W. Bush,06/17/2002 ,06/19/2002 ,74,19,6
George W. Bush,06/07/2002 ,06/08/2002 ,74,18,7
George W. Bush,06/03/2002 ,06/06/2002 ,70,23,6
George W. Bush,05/28/2002 ,05/29/2002 ,76,16,6
George W. Bush,05/20/2002 ,05/22/2002 ,76,17,6
George W. Bush,05/06/2002 ,05/09/2002 ,75,19,4
George W. Bush,04/29/2002 ,05/01/2002 ,77,19,3
George W. Bush,04/22/2002 ,04/24/2002 ,76,16,6
George W. Bush,04/08/2002 ,04/11/2002 ,74,19,5
George W. Bush,04/05/2002 ,04/07/2002 ,75,19,5
George W. Bush,03/22/2002 ,03/24/2002 ,78,17,3
George W. Bush,03/18/2002 ,03/20/2002 ,79,15,4
George W. Bush,03/08/2002 ,03/09/2002 ,79,14,5
George W. Bush,03/04/2002 ,03/07/2002 ,76,18,5
George W. Bush,03/01/2002 ,03/03/2002 ,80,14,4
George W. Bush,02/08/2002 ,02/10/2002 ,81,13,4
George W. Bush,02/04/2002 ,02/06/2002 ,81,14,4
George W. Bush,01/25/2002 ,01/27/2002 ,84,13,2
George W. Bush,01/11/2002 ,01/14/2002 ,82,12,4
George W. Bush,12/14/2001 ,12/16/2001 ,85,10,3
George W. Bush,12/06/2001 ,12/09/2001 ,85,10,3
George W. Bush,11/26/2001 ,11/27/2001 ,87,8,4
George W. Bush,11/09/2001 ,11/15/2001 ,84,11,3
George W. Bush,11/08/2001 ,11/11/2001 ,86,9,3
George W. Bush,11/02/2001 ,11/04/2001 ,87,8,3
George W. Bush,10/19/2001 ,10/21/2001 ,88,9,2
George W. Bush,10/11/2001 ,10/14/2001 ,89,8,2
George W. Bush,10/05/2001 ,10/07/2001 ,87,9,3
George W. Bush,09/21/2001 ,09/22/2001 ,89,6,4
George W. Bush,09/14/2001 ,09/15/2001 ,85,9,4
George W. Bush,09/07/2001 ,09/11/2001 ,51,39,9
George W. Bush,08/24/2001 ,08/26/2001 ,55,35,9
George W. Bush,08/16/2001 ,08/19/2001 ,57,33,8
George W. Bush,08/10/2001 ,08/12/2001 ,57,35,7
George W. Bush,08/03/2001 ,08/05/2001 ,55,34,10
George W. Bush,07/19/2001 ,07/22/2001 ,55,33,10
George W. Bush,07/10/2001 ,07/11/2001 ,57,34,8
George W. Bush,06/28/2001 ,07/01/2001 ,52,34,13
George W. Bush,06/22/2001 ,06/28/2001 ,50,42,7
George W. Bush,06/11/2001 ,06/17/2001 ,52,34,12
George W. Bush,06/08/2001 ,06/10/2001 ,55,35,9
George W. Bush,05/18/2001 ,05/20/2001 ,55,35,8
George W. Bush,05/10/2001 ,05/14/2001 ,56,31,12
George W. Bush,05/07/2001 ,05/09/2001 ,53,32,14
George W. Bush,04/20/2001 ,04/22/2001 ,62,29,9
George W. Bush,04/06/2001 ,04/08/2001 ,59,29,11
George W. Bush,03/26/2001 ,03/28/2001 ,52,29,18
George W. Bush,03/09/2001 ,03/11/2001 ,58,28,13
George W. Bush,03/05/2001 ,03/07/2001 ,62,21,15
George W. Bush,02/19/2001 ,02/21/2001 ,61,21,16
George W. Bush,02/09/2001 ,02/11/2001 ,57,24,17
George W. Bush,02/01/2001 ,02/04/2001 ,57,25,18
William J. Clinton,01/10/2001 ,01/14/2001 ,66,29,5
William J. Clinton,01/05/2001 ,01/07/2001 ,63,31,4
William J. Clinton,12/15/2000 ,12/17/2000 ,71,26,1
William J. Clinton,12/02/2000 ,12/04/2000 ,59,35,5
William J. Clinton,11/13/2000 ,11/15/2000 ,63,32,4
William J. Clinton,10/25/2000 ,10/26/2000 ,56,38,5
William J. Clinton,10/06/2000 ,10/09/2000 ,58,36,4
William J. Clinton,09/11/2000 ,09/13/2000 ,60,34,5
William J. Clinton,08/29/2000 ,09/03/2000 ,62,35,2
William J. Clinton,08/18/2000 ,08/19/2000 ,61,35,3
William J. Clinton,08/11/2000 ,08/12/2000 ,57,38,3
William J. Clinton,08/04/2000 ,08/05/2000 ,63,32,4
William J. Clinton,07/25/2000 ,07/26/2000 ,56,39,4
William J. Clinton,07/14/2000 ,07/16/2000 ,59,36,3
William J. Clinton,07/06/2000 ,07/09/2000 ,59,35,5
William J. Clinton,06/22/2000 ,06/25/2000 ,54,39,5
William J. Clinton,06/06/2000 ,06/07/2000 ,59,36,3
William J. Clinton,05/18/2000 ,05/21/2000 ,57,36,5
William J. Clinton,05/04/2000 ,05/07/2000 ,57,36,6
William J. Clinton,04/28/2000 ,04/30/2000 ,58,39,2
William J. Clinton,03/30/2000 ,04/02/2000 ,62,33,3
William J. Clinton,03/17/2000 ,03/19/2000 ,55,39,5
William J. Clinton,03/10/2000 ,03/12/2000 ,63,34,3
William J. Clinton,02/25/2000 ,02/27/2000 ,56,39,3
William J. Clinton,02/14/2000 ,02/15/2000 ,61,34,4
William J. Clinton,02/04/2000 ,02/05/2000 ,62,33,3
William J. Clinton,01/25/2000 ,01/26/2000 ,64,31,3
William J. Clinton,01/17/2000 ,01/19/2000 ,61,35,3
William J. Clinton,01/13/2000 ,01/16/2000 ,59,36,4
William J. Clinton,01/07/2000 ,01/10/2000 ,63,34,2
William J. Clinton,12/20/1999 ,12/21/1999 ,57,35,6
William J. Clinton,12/09/1999 ,12/12/1999 ,56,41,2
William J. Clinton,11/18/1999 ,11/21/1999 ,59,36,5
William J. Clinton,11/04/1999 ,11/07/1999 ,58,38,4
William J. Clinton,10/21/1999 ,10/24/1999 ,59,35,4
William J. Clinton,10/08/1999 ,10/10/1999 ,56,38,4
William J. Clinton,09/23/1999 ,09/26/1999 ,59,37,2
William J. Clinton,09/10/1999 ,09/14/1999 ,60,38,1
William J. Clinton,08/24/1999 ,08/26/1999 ,59,35,5
William J. Clinton,08/16/1999 ,08/18/1999 ,59,35,4
William J. Clinton,08/03/1999 ,08/04/1999 ,60,35,4
William J. Clinton,07/23/1999 ,07/25/1999 ,64,30,4
William J. Clinton,07/16/1999 ,07/18/1999 ,57,38,3
William J. Clinton,07/13/1999 ,07/14/1999 ,58,36,4
William J. Clinton,06/25/1999 ,06/27/1999 ,57,40,1
William J. Clinton,06/11/1999 ,06/13/1999 ,61,34,3
William J. Clinton,06/04/1999 ,06/05/1999 ,59,35,4
William J. Clinton,05/21/1999 ,05/23/1999 ,56,39,4
William J. Clinton,05/07/1999 ,05/09/1999 ,60,35,5
William J. Clinton,04/30/1999 ,05/02/1999 ,60,36,3
William J. Clinton,04/26/1999 ,04/27/1999 ,59,35,4
William J. Clinton,04/13/1999 ,04/14/1999 ,59,35,4
William J. Clinton,04/06/1999 ,04/07/1999 ,58,35,6
William J. Clinton,03/30/1999 ,03/31/1999 ,64,31,4
William J. Clinton,03/19/1999 ,03/21/1999 ,64,33,3
William J. Clinton,03/12/1999 ,03/14/1999 ,61,34,3
William J. Clinton,03/05/1999 ,03/07/1999 ,67,28,3
William J. Clinton,02/26/1999 ,02/28/1999 ,65,30,3
William J. Clinton,02/19/1999 ,02/21/1999 ,66,29,4
William J. Clinton,02/12/1999 ,02/13/1999 ,66,31,2
William J. Clinton,02/09/1999 ,02/09/1999 ,69,27,2
William J. Clinton,02/08/1999 ,02/09/1999 ,62,34,3
William J. Clinton,02/04/1999 ,02/08/1999 ,65,33,2
William J. Clinton,02/02/1999 ,02/07/1999 ,59,37,3
William J. Clinton,01/27/1999 ,01/27/1999 ,67,31,2
William J. Clinton,01/22/1999 ,01/24/1999 ,69,29,2
William J. Clinton,01/15/1999 ,01/17/1999 ,69,29,2
William J. Clinton,01/08/1999 ,01/10/1999 ,67,30,3
William J. Clinton,01/06/1999 ,01/06/1999 ,63,34,3
William J. Clinton,12/12/1998 ,12/13/1998 ,63,34,2
William J. Clinton,12/04/1998 ,12/06/1998 ,65,29,4
William J. Clinton,11/20/1998 ,11/22/1998 ,65,30,4
William J. Clinton,11/13/1998 ,11/15/1998 ,65,31,3
William J. Clinton,10/29/1998 ,11/01/1998 ,65,30,3
William J. Clinton,10/23/1998 ,10/25/1998 ,65,31,2
William J. Clinton,10/09/1998 ,10/12/1998 ,65,31,3
William J. Clinton,10/06/1998 ,10/07/1998 ,63,33,3
William J. Clinton,09/23/1998 ,09/24/1998 ,65,30,3
William J. Clinton,09/21/1998 ,09/21/1998 ,65,31,3
William J. Clinton,09/20/1998 ,09/20/1998 ,59,34,5
William J. Clinton,09/14/1998 ,09/15/1998 ,63,34,2
William J. Clinton,09/11/1998 ,09/12/1998 ,63,34,2
William J. Clinton,09/10/1998 ,09/10/1998 ,59,36,3
William J. Clinton,09/01/1998 ,09/01/1998 ,62,32,4
William J. Clinton,08/21/1998 ,08/23/1998 ,61,34,3
William J. Clinton,08/20/1998 ,08/20/1998 ,60,34,5
William J. Clinton,08/18/1998 ,08/18/1998 ,65,29,5
William J. Clinton,08/17/1998 ,08/17/1998 ,61,32,5
William J. Clinton,08/10/1998 ,08/12/1998 ,64,29,5
